# FWI TEST DATA USING FILE proyecto_grani/datos_meteorologicos.txt 
# INITIAL VALUES FOR FFMC: 21.20, DMC: 0.10, DC: 0.60 

#DATE		 TEMP	  RH	WIND(S)	 WIND(V) RAIN	 FFMC	 DMC	 DC	 ISI	 BUI	 FWI	 DSR 
20150902	 6.70	 64.00	 O	 33.00	 0.00	 52.80	 0.56	 1.51	 1.19	 0.58	 0.29	 0.00	BABBB 
20150903	 6.10	 64.00	 NO	 13.00	 0.00	 67.35	 0.99	 2.31	 1.11	 0.96	 0.29	 0.00	BABBB 
20150904	 3.00	 67.00	 O	 13.00	 0.00	 74.05	 1.21	 2.56	 1.40	 1.13	 0.38	 0.00	BABBB 
20150905	 7.50	 43.00	 O	 37.00	 0.00	 82.99	 2.02	 3.61	 10.40	 1.87	 5.67	 0.59	AEBBB 
20150906	 5.60	 51.00	 O	 27.00	 0.60	 83.42	 2.56	 4.32	 6.65	 2.38	 3.83	 0.29	AEBMB 
20150907	 4.10	 46.00	 NO	 7.00	 0.00	 84.56	 3.02	 4.76	 2.82	 2.81	 0.97	 0.03	MXBMB 
20150908	 4.60	 52.00	 NO	 27.00	 0.00	 84.61	 3.47	 5.30	 7.78	 3.25	 5.07	 0.48	AEBMB 
20150909	 5.40	 46.00	 SE	 15.00	 0.00	 85.30	 4.05	 5.97	 4.68	 3.81	 3.08	 0.20	AEBMB 
20150910	 7.10	 50.00	 NO	 36.00	 0.00	 85.35	 4.73	 6.95	 13.57	 4.49	 9.49	 1.46	AEMMB 
20150911	 7.90	 56.00	 ONO	 34.00	 0.00	 85.40	 5.38	 8.08	 12.35	 5.15	 9.20	 1.38	AEMMB 
20150912	 8.90	 48.00	 NO	 18.00	 0.00	 85.78	 6.24	 9.39	 5.81	 6.01	 4.87	 0.45	AEBMB 
20150913	 8.30	 56.00	 NO	 51.00	 0.00	 85.82	 6.92	 10.58	 30.85	 6.70	 20.64	 5.78	AEAAM 
20150914	 5.40	 50.00	 O	 31.00	 8.00	 55.88	 3.75	 0.68	 1.44	 2.95	 0.50	 0.01	BABMB 
20150915	 5.40	 55.00	 NO	 14.00	 0.00	 70.70	 4.23	 1.35	 1.30	 3.52	 0.48	 0.01	BABMB 
20150916	 10.40	 37.00	 ONO	 8.00	 0.00	 81.62	 5.43	 2.93	 2.04	 4.83	 0.86	 0.02	MXBMB 
20150917	 12.40	 39.00	 0	 0.00	 0.00	 84.88	 6.78	 4.86	 2.07	 6.27	 0.99	 0.03	MXBMB 
20150918	 14.40	 34.00	 NO	 7.00	 0.00	 88.05	 8.47	 7.16	 4.61	 8.01	 4.43	 0.38	AEBMM 
20150919	 10.00	 62.00	 O	 31.00	 0.00	 85.96	 9.17	 8.66	 11.48	 8.74	 10.71	 1.81	AEMMM 
20150920	 7.40	 56.00	 O	 38.00	 0.50	 85.90	 9.78	 9.70	 16.19	 9.37	 14.50	 3.09	AEMMM 
20150921	 9.70	 45.00	 O	 11.00	 0.00	 86.36	 10.76	 11.15	 4.43	 10.37	 4.90	 0.45	AEBMM 
20150922	 10.50	 48.00	 ONO	 36.00	 0.00	 86.41	 11.75	 12.74	 15.73	 11.38	 15.38	 3.43	AEMMM 
20150923	 12.00	 41.00	 ONO	 10.00	 0.00	 87.28	 13.03	 14.61	 4.81	 12.66	 5.93	 0.63	AEMMM 
